open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1681603200000,2090.61000000,2141.54000000,2072.72000000,2118.67000000,319880.43930000,1681606799999,673034613.41583502,529231.00000000,162518.13280000,341954921.31303203,0
1681689600000,2118.66000000,2120.51000000,2056.25000000,2074.00000000,426972.70710000,1681693199999,889433328.78650796,674817.00000000,206218.47990000,429616895.54751098,0
1681776000000,2073.99000000,2125.00000000,2051.00000000,2103.50000000,414244.61350000,1681779599999,867291463.56982803,636801.00000000,205943.01880000,431182409.02291399,0
1681862400000,2103.51000000,2104.60000000,1923.03000000,1933.73000000,775389.06020000,1681865999999,1547934187.85901999,1116849.00000000,381226.96410000,760478525.51605499,0
1681948800000,1933.74000000,1982.99000000,1914.43000000,1942.98000000,625336.24950000,1681952399999,1218184973.29939604,869619.00000000,307551.80710000,598986977.59446394,0
1682035200000,1942.98000000,1957.27000000,1825.00000000,1848.78000000,688876.61860000,1682038799999,1306179482.09194207,868887.00000000,339964.18250000,644708261.74439502,0
1682121600000,1848.77000000,1887.31000000,1841.64000000,1874.16000000,331007.58790000,1682125199999,616579601.31176496,451499.00000000,168125.14090000,313147831.35700899,0
1682208000000,1874.17000000,1882.01000000,1836.37000000,1862.00000000,344514.34440000,1682211599999,641362428.68936598,463928.00000000,180537.42010000,336129438.63123798,0
1682294400000,1862.01000000,1890.00000000,1806.00000000,1841.84000000,447864.05170000,1682297999999,826968889.24123204,682824.00000000,216968.96130000,400599962.39540303,0
1682380800000,1841.84000000,1877.86000000,1801.66000000,1866.10000000,457870.60470000,1682384399999,839226421.37824595,631766.00000000,238370.89710000,436940670.14806300,0
1682467200000,1866.10000000,1964.72000000,1785.00000000,1866.01000000,897709.72980000,1682470799999,1695903568.96090293,1182620.00000000,445589.98610000,842104509.42400098,0
1682553600000,1866.01000000,1940.96000000,1861.19000000,1908.68000000,727472.94660000,1682557199999,1383094120.67767000,959609.00000000,378523.29340000,719109759.95745504,0
1682640000000,1908.68000000,1923.88000000,1873.94000000,1890.94000000,387630.77910000,1682643599999,736203306.61415601,574483.00000000,201390.05560000,382298834.01980901,0
1682726400000,1890.93000000,1918.00000000,1883.05000000,1907.80000000,182046.14060000,1682729999999,346028241.29573703,335962.00000000,90910.25440000,172785540.85637000,0
1682812800000,1907.79000000,1939.00000000,1866.16000000,1870.09000000,355336.48880000,1682816399999,677913240.81466198,552933.00000000,176787.43370000,337334018.00262499,0
1682899200000,1870.08000000,1886.49000000,1806.12000000,1830.73000000,445519.17790000,1682902799999,818821593.69484901,647788.00000000,220514.81130000,405281273.92910802,0
1682985600000,1830.73000000,1881.87000000,1822.94000000,1870.08000000,373753.20270000,1682989199999,690907892.11045504,563768.00000000,184439.10310000,340877324.21815801,0
1683072000000,1870.09000000,1916.52000000,1842.64000000,1905.12000000,465185.25010000,1683075599999,871222153.95979202,751579.00000000,239749.08060000,449104177.86407202,0
1683158400000,1905.12000000,1918.26000000,1866.71000000,1877.07000000,354528.61440000,1683161999999,670584503.65961897,525802.00000000,172127.95090000,325526383.58993202,0
1683244800000,1877.07000000,1998.36000000,1875.65000000,1993.30000000,546608.87500000,1683248399999,1061183389.06811202,803612.00000000,281818.21880000,546945491.99312305,0
1683331200000,1993.30000000,2019.00000000,1860.00000000,1896.33000000,608106.99150000,1683334799999,1169939393.31277704,868626.00000000,309602.22270000,595756528.40079701,0
1683417600000,1896.33000000,1933.33000000,1867.59000000,1870.40000000,413268.83570000,1683421199999,787566158.19845605,625667.00000000,198046.18760000,377209171.37210500,0
1683504000000,1870.41000000,1883.97000000,1810.73000000,1847.56000000,625316.61680000,1683507599999,1157603209.76185393,885693.00000000,308193.85070000,570302849.74666500,0
1683590400000,1847.55000000,1861.88000000,1830.99000000,1846.52000000,304396.18600000,1683593999999,561440259.79089499,517737.00000000,154195.20710000,284409845.64507902,0
1683676800000,1846.53000000,1887.47000000,1790.51000000,1840.84000000,639933.38550000,1683680399999,1182254717.03221512,802140.00000000,315762.39530000,583244341.86798096,0
1683763200000,1840.83000000,1842.02000000,1772.68000000,1794.30000000,522096.07250000,1683766799999,944525427.02794206,679625.00000000,256341.50350000,463715175.20427203,0
1683849600000,1794.31000000,1818.63000000,1740.00000000,1807.45000000,565539.83090000,1683853199999,1002104362.59441102,696930.00000000,272766.58150000,483569848.95791602,0
1683936000000,1807.45000000,1817.03000000,1785.23000000,1795.11000000,212895.43730000,1683939599999,383397322.74478102,342566.00000000,107960.56180000,194416969.77728900,0
1684022400000,1795.12000000,1824.00000000,1789.82000000,1799.21000000,218101.09770000,1684025999999,393557662.80185997,348092.00000000,112091.49980000,202267370.36955801,0
1684108800000,1799.20000000,1846.70000000,1785.05000000,1816.20000000,388171.92610000,1684112399999,708011632.17470896,503728.00000000,200878.52120000,366433193.42835402,0
1684195200000,1816.21000000,1832.64000000,1796.20000000,1824.21000000,311238.67860000,1684198799999,565367254.10677695,466058.00000000,145796.26840000,264839999.72631800,0
1684281600000,1824.21000000,1837.50000000,1783.68000000,1822.12000000,352097.99130000,1684285199999,637776970.83385503,524718.00000000,174614.82380000,316362266.89123303,0
1684368000000,1822.12000000,1831.92000000,1771.12000000,1800.56000000,293755.31100000,1684371599999,531357170.82715201,480171.00000000,142539.40530000,257898809.71807599,0
1684454400000,1800.56000000,1829.54000000,1796.81000000,1812.32000000,243116.46760000,1684457999999,440291732.35087901,390917.00000000,125305.64520000,226950073.64205801,0
1684540800000,1812.31000000,1828.87000000,1807.06000000,1819.42000000,127754.43490000,1684544399999,232010582.30662799,272744.00000000,67168.56350000,122004402.44592799,0
1684627200000,1819.42000000,1828.98000000,1797.21000000,1804.91000000,161517.80530000,1684630799999,292535613.87812400,308391.00000000,76815.25180000,139145313.56843901,0
1684713600000,1804.91000000,1828.27000000,1792.01000000,1817.35000000,237498.94230000,1684717199999,430673377.91665298,411867.00000000,123914.68840000,224774189.86708501,0
1684800000000,1817.36000000,1872.50000000,1815.24000000,1854.05000000,396869.60970000,1684803599999,734581474.72246599,548587.00000000,222549.77690000,411731244.57850599,0
1684886400000,1854.06000000,1854.09000000,1777.60000000,1799.89000000,420846.14450000,1684889999999,761360360.59788704,554307.00000000,193455.11130000,349797434.17615902,0
1684972800000,1799.89000000,1818.81000000,1761.41000000,1805.60000000,350633.00890000,1684976399999,628769352.44257092,482899.00000000,164410.16270000,294794104.35496199,0
1685059200000,1805.61000000,1838.20000000,1796.99000000,1827.79000000,275690.68540000,1685062799999,501773973.87993699,375854.00000000,140633.10750000,255923842.59407100,0
1685145600000,1827.80000000,1836.12000000,1812.18000000,1829.89000000,138824.94060000,1685149199999,253710138.25056300,276383.00000000,69580.64790000,127156321.87459001,0
1685232000000,1829.89000000,1918.65000000,1823.60000000,1908.64000000,378392.43710000,1685235599999,705699886.22948802,549727.00000000,194805.86070000,363152161.53674799,0
1685318400000,1908.64000000,1927.62000000,1873.65000000,1892.60000000,313593.49420000,1685321999999,596236148.90988505,445895.00000000,158390.34480000,301175186.43959403,0
1685404800000,1892.60000000,1917.00000000,1881.19000000,1900.59000000,272665.84020000,1685408399999,519059196.24741602,422249.00000000,134288.16090000,255644547.73762700,0
1685491200000,1900.58000000,1907.13000000,1846.95000000,1873.63000000,319255.56810000,1685494799999,597360395.54403400,451133.00000000,149451.08700000,279624016.04225999,0
1685577600000,1873.63000000,1889.20000000,1840.00000000,1861.78000000,270496.60970000,1685581199999,504448237.27337998,422899.00000000,132786.93240000,247622735.20923099,0
1685664000000,1861.78000000,1910.00000000,1847.51000000,1906.68000000,313004.06580000,1685667599999,591169483.09944701,456788.00000000,157874.04030000,298230534.99306601,0
1685750400000,1906.69000000,1907.92000000,1881.60000000,1892.06000000,148818.24270000,1685753999999,282550389.94668800,292512.00000000,71248.10150000,135269927.94934601,0
1685836800000,1892.05000000,1914.63000000,1884.22000000,1890.01000000,172683.01190000,1685840399999,328166899.06235397,289973.00000000,85783.12010000,163026354.23802599,0
1685923200000,1890.00000000,1890.63000000,1778.00000000,1810.50000000,555361.26830000,1685926799999,1017689609.36225593,688879.00000000,253634.64500000,464638835.75944901,0
1686009600000,1810.49000000,1898.29000000,1797.18000000,1884.64000000,491407.21740000,1686013199999,907660359.42596591,616201.00000000,254098.02440000,469823908.55393201,0
1686096000000,1884.65000000,1897.80000000,1821.18000000,1832.13000000,429196.70640000,1686099599999,796856688.86671293,594071.00000000,201074.79930000,373411267.73444599,0
1686182400000,1832.12000000,1861.28000000,1828.31000000,1845.64000000,189270.48530000,1686185999999,349160385.10497999,347990.00000000,89218.13060000,164597259.31850702,0
1686268800000,1845.65000000,1855.00000000,1827.00000000,1840.37000000,198324.32520000,1686272399999,365037779.74288702,354623.00000000,92841.28830000,170881394.31631398,0
1686355200000,1840.37000000,1844.99000000,1715.03000000,1751.53000000,652324.66950000,1686358799999,1148312156.52559614,877410.00000000,298962.65330000,525884490.13860500,0
1686441600000,1751.52000000,1778.25000000,1738.72000000,1752.76000000,219956.24340000,1686445199999,385656545.95023799,378921.00000000,104970.10390000,184058191.29345500,0
1686528000000,1752.77000000,1759.33000000,1720.00000000,1742.57000000,302132.48190000,1686531599999,525467514.61960900,467392.00000000,154579.04660000,268848228.17759997,0
1686614400000,1742.57000000,1770.13000000,1724.22000000,1740.12000000,284268.00180000,1686617999999,495907901.66849303,498880.00000000,147060.37350000,256562479.93399999,0
1686700800000,1740.12000000,1750.03000000,1630.43000000,1650.95000000,415847.32700000,1686704399999,705586390.23398101,572996.00000000,198035.00600000,335772562.74237698,0
1686787200000,1650.95000000,1680.91000000,1626.01000000,1666.96000000,370774.76960000,1686790799999,611499814.54217601,458568.00000000,192425.51560000,317419943.08694798,0
1686873600000,1666.96000000,1729.50000000,1649.86000000,1717.92000000,311734.59040000,1686877199999,525393264.96220100,408176.00000000,158600.07400000,267168521.19164601,0
1686960000000,1717.91000000,1770.00000000,1714.26000000,1727.76000000,210914.92160000,1686963599999,366944179.32063699,359758.00000000,107260.84850000,186631806.83369699,0
1687046400000,1727.75000000,1747.84000000,1712.00000000,1720.95000000,156535.01280000,1687049999999,270948973.41748399,273858.00000000,79223.60390000,137159225.73341200,0
1687132800000,1720.95000000,1752.19000000,1698.00000000,1737.11000000,245162.75890000,1687136399999,422827205.77548897,366143.00000000,120432.59420000,207735564.79235500,0
1687219200000,1737.10000000,1796.99000000,1714.72000000,1791.99000000,328855.68460000,1687222799999,577529266.78921700,459724.00000000,168345.97910000,295848851.47750902,0
1687305600000,1791.99000000,1901.00000000,1787.38000000,1889.11000000,613755.88690000,1687309199999,1132377905.48890209,699689.00000000,301882.53500000,557089886.05291200,0
1687392000000,1889.10000000,1933.17000000,1865.98000000,1872.01000000,416714.57190000,1687395599999,791056016.14617598,536410.00000000,196874.68600000,373931527.58078599,0
1687478400000,1872.00000000,1936.42000000,1861.01000000,1892.63000000,401147.93240000,1687481999999,760352485.33668101,531784.00000000,196520.65020000,372600003.36950397,0
1687564800000,1892.63000000,1906.00000000,1864.77000000,1874.96000000,226910.29410000,1687568399999,427721477.76198000,356654.00000000,108047.87640000,203668990.45857099,0
1687651200000,1874.95000000,1930.00000000,1868.83000000,1898.80000000,338757.61580000,1687654799999,644415530.04061604,482753.00000000,170334.26420000,323870595.29258299,0
1687737600000,1898.80000000,1909.10000000,1837.18000000,1858.97000000,458743.86100000,1687741199999,859537162.35561395,518009.00000000,221834.27490000,415653994.57101500,0
1687824000000,1858.97000000,1912.53000000,1855.19000000,1889.58000000,366634.57070000,1687827599999,690855987.04133201,437184.00000000,195382.36640000,368354695.94773102,0
1687910400000,1889.58000000,1890.19000000,1816.56000000,1828.02000000,337836.57920000,1687913999999,626358502.58848000,437585.00000000,160645.26760000,297804857.12545502,0
1687996800000,1828.03000000,1880.00000000,1827.84000000,1851.99000000,241844.82810000,1688000399999,448678322.17682201,350823.00000000,123194.61910000,228587452.24364901,0
1688083200000,1851.99000000,1948.60000000,1825.01000000,1933.79000000,716538.10350000,1688086799999,1353630452.61544490,824889.00000000,345435.65260000,653049175.24502695,0
1688169600000,1933.80000000,1944.56000000,1909.44000000,1924.50000000,178373.36880000,1688173199999,343093755.61273599,307019.00000000,88294.47030000,169850518.15340400,0
1688256000000,1924.50000000,1959.20000000,1885.75000000,1937.48000000,255852.78320000,1688259599999,491981842.96013898,381133.00000000,127341.96230000,244921036.01352000,0
1688342400000,1937.49000000,1976.16000000,1933.55000000,1955.54000000,322102.42950000,1688345999999,631158998.81141603,404084.00000000,156608.64050000,306826484.73680198,0
1688428800000,1955.55000000,1967.08000000,1931.58000000,1936.20000000,205525.09840000,1688432399999,401186997.24983799,307691.00000000,93898.54220000,183304067.88205799,0
1688515200000,1936.19000000,1942.50000000,1894.51000000,1910.36000000,267633.47830000,1688518799999,512774138.21894902,362985.00000000,128057.05960000,245340739.07556301,0
1688601600000,1910.35000000,1958.00000000,1846.00000000,1846.17000000,456362.74100000,1688605199999,868009586.22327006,519031.00000000,225559.18200000,429043301.00454301,0
1688688000000,1846.17000000,1878.00000000,1826.00000000,1870.91000000,232944.34660000,1688691599999,432733381.05496699,355260.00000000,115143.08730000,213926654.20575500,0
1688774400000,1870.92000000,1876.00000000,1842.80000000,1865.24000000,125819.82730000,1688777999999,234001180.80462500,228589.00000000,62592.51970000,116432999.11736000,0
1688860800000,1865.24000000,1879.36000000,1856.15000000,1862.80000000,135046.37430000,1688864399999,252189550.05160999,234925.00000000,67977.91700000,126943043.66060799,0
1688947200000,1862.81000000,1905.50000000,1846.63000000,1880.40000000,247868.14940000,1688950799999,464186441.16338199,338462.00000000,123964.15400000,232197400.11132801,0
1689033600000,1880.41000000,1891.99000000,1862.38000000,1878.30000000,177771.61170000,1689037199999,333339876.93269598,256360.00000000,85214.33010000,159785569.13999599,0
1689120000000,1878.31000000,1902.00000000,1864.37000000,1871.82000000,264406.86730000,1689123599999,498567734.55913299,338468.00000000,127657.95260000,240728674.89619800,0
1689206400000,1871.82000000,2012.63000000,1862.59000000,2004.49000000,548861.42070000,1689209999999,1069502144.02619398,618276.00000000,275375.01890000,536826200.18952203,0
1689292800000,2004.49000000,2029.11000000,1898.39000000,1937.83000000,498724.03590000,1689296399999,982369872.01989996,604687.00000000,233071.08200000,459199490.67721599,0
1689379200000,1937.82000000,1946.37000000,1926.23000000,1931.41000000,135181.76630000,1689382799999,261553961.16751501,242818.00000000,65759.39380000,127241697.85754400,0
1689465600000,1931.41000000,1943.55000000,1914.00000000,1922.11000000,148667.10510000,1689469199999,286787440.45690101,253770.00000000,69691.91530000,134478359.19064900,0
1689552000000,1922.12000000,1936.18000000,1873.26000000,1911.20000000,277159.03490000,1689555599999,528662412.29765803,391391.00000000,134997.43870000,257602038.11976901,0
1689638400000,1911.21000000,1917.19000000,1875.73000000,1897.21000000,215780.50060000,1689641999999,409583830.87633300,315100.00000000,104433.40230000,198241004.72850600,0
1689724800000,1897.21000000,1922.04000000,1882.17000000,1888.63000000,218045.00050000,1689728399999,415268112.54340100,266831.00000000,108435.73970000,206536797.50755998,0
1689811200000,1888.64000000,1929.05000000,1878.00000000,1891.59000000,292907.51640000,1689814799999,556981450.45530105,353180.00000000,146238.33710000,278124518.64556497,0
1689897600000,1891.59000000,1905.74000000,1884.64000000,1891.73000000,165554.04280000,1689901199999,313414135.89511102,260385.00000000,80526.66420000,152465025.97191101,0
1689984000000,1891.73000000,1897.35000000,1851.18000000,1866.52000000,131901.64870000,1689987599999,247820592.76861301,240897.00000000,63386.28070000,119075556.07967700,0
1690070400000,1866.52000000,1905.25000000,1857.82000000,1888.73000000,153501.01780000,1690073999999,288736391.86133802,254227.00000000,77750.79530000,146207958.76945201,0
1690156800000,1888.74000000,1890.86000000,1833.19000000,1850.00000000,276504.55470000,1690160399999,512402907.45784503,336366.00000000,132903.49640000,246198594.77742201,0
1690243200000,1850.00000000,1868.71000000,1845.45000000,1857.66000000,152251.21000000,1690246799999,282696600.92125702,248856.00000000,74772.69460000,138842172.88567400,0
1690329600000,1857.66000000,1888.00000000,1848.35000000,1872.00000000,272090.53330000,1690333199999,507049348.71731102,319851.00000000,148093.90820000,275939339.56717598,0
1690416000000,1871.99000000,1886.11000000,1854.84000000,1861.28000000,163766.42590000,1690419599999,306463587.40201998,252294.00000000,80701.93000000,151048244.46030900,0
1690502400000,1861.29000000,1883.39000000,1856.52000000,1874.19000000,138695.71470000,1690505999999,259228467.50226200,219389.00000000,70493.20350000,131768046.05069400,0
1690588800000,1874.20000000,1886.58000000,1869.54000000,1880.46000000,72867.02690000,1690592399999,136676328.67954999,166385.00000000,35883.35010000,67306690.35157900,0
1690675200000,1880.45000000,1885.30000000,1848.17000000,1861.79000000,158657.59020000,1690678799999,296504225.22149700,247858.00000000,82527.46300000,154244296.26924402,0
1690761600000,1861.79000000,1877.40000000,1851.02000000,1856.14000000,168204.45340000,1690765199999,313517086.16175503,246487.00000000,81667.85240000,152228050.61514500,0
1690848000000,1856.13000000,1875.62000000,1813.80000000,1873.47000000,358476.09660000,1690851599999,659100582.10844803,411508.00000000,170424.36490000,313392733.79441202,0
1690934400000,1873.48000000,1879.74000000,1821.21000000,1839.90000000,254213.05530000,1690937999999,470466371.26278603,331270.00000000,122977.56270000,227628401.25795600,0
1691020800000,1839.90000000,1859.12000000,1826.00000000,1835.81000000,171148.05200000,1691024399999,315081750.38647997,254918.00000000,84099.07300000,154854420.42163900,0
1691107200000,1835.81000000,1851.31000000,1815.74000000,1830.23000000,187699.45520000,1691110799999,344687096.60203803,256002.00000000,90965.14430000,167095446.03822699,0
1691193600000,1830.24000000,1839.00000000,1827.50000000,1836.48000000,93657.32550000,1691197199999,171683574.02264300,174254.00000000,46888.39410000,85951801.63235299,0
