time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open
2023-10-16,27154.14,1557.78,21.93,0.0593
2023-10-17,28500.77,1599.41,23.95,0.06
2023-10-18,28395.91,1565.01,23.94,0.05903
2023-10-19,28320.0,1563.45,23.41,0.05859
2023-10-20,28713.71,1566.57,24.92,0.05887
2023-10-21,29669.05,1603.88,27.02,0.0599
2023-10-22,29909.8,1628.94,29.33,0.06119
2023-10-23,29992.46,1663.69,29.06,0.06169
2023-10-24,33069.99,1765.47,31.88,0.06742
2023-10-25,33922.73,1784.98,30.18,0.0666
2023-10-26,34496.05,1787.15,32.43,0.06832
2023-10-27,34151.66,1803.39,32.78,0.07184
2023-10-28,33892.01,1779.41,31.73,0.06776
2023-10-29,34081.01,1776.21,31.62,0.069
2023-10-30,34525.88,1795.14,32.83,0.06936
2023-10-31,34474.74,1809.03,34.94,0.06958
2023-11-01,34639.78,1814.67,38.41,0.06827
2023-11-02,35421.43,1846.99,41.16,0.06893
2023-11-03,34941.58,1800.79,40.24,0.0679
2023-11-04,34716.78,1832.7,39.45,0.06808
2023-11-05,35062.06,1855.54,42.41,0.06908
2023-11-06,35011.89,1891.71,41.16,0.07108
2023-11-07,35046.09,1900.95,42.16,0.07637
2023-11-08,35399.13,1885.26,42.93,0.07338
2023-11-09,35624.72,1888.11,43.12,0.07535
2023-11-10,36701.1,2121.33,45.3,0.07357
2023-11-11,37301.63,2077.72,56.67,0.07539
2023-11-12,37129.99,2053.16,56.36,0.0785
2023-11-13,37064.13,2044.69,56.27,0.07795
2023-11-14,36462.93,2053.65,51.6,0.07456
2023-11-15,35551.2,1979.4,56.81,0.07244
2023-11-16,37858.2,2058.49,65.43,0.07623
2023-11-17,36163.51,1961.77,57.81,0.07946
2023-11-18,36613.91,1960.82,58.52,0.08642
2023-11-19,36568.11,1962.59,58.56,0.08027
2023-11-20,37359.85,2011.47,61.1,0.08045
2023-11-21,37448.79,2021.41,56.57,0.07768
2023-11-22,35741.65,1933.01,51.65,0.07175
2023-11-23,37408.35,2063.22,57.55,0.07576
2023-11-24,37294.27,2062.21,56.52,0.07621
2023-11-25,37713.57,2080.84,56.86,0.07818
2023-11-26,37780.67,2083.1,58.81,0.07894
2023-11-27,37447.42,2062.34,57.57,0.07867
2023-11-28,37242.7,2027.5,55.06,0.07883
2023-11-29,37818.88,2048.14,58.18,0.08083
2023-11-30,37854.65,2028.8,59.31,0.08045
2023-12-01,37723.97,2051.95,59.3,0.08344
2023-12-02,38682.51,2087.24,59.74,0.08384
2023-12-03,39450.35,2164.75,63.66,0.08617
2023-12-04,39972.26,2192.96,62.99,0.08571
2023-12-05,41991.1,2243.36,61.63,0.09188
2023-12-06,44073.82,2293.33,61.04,0.09436
2023-12-07,43762.69,2232.7,61.85,0.09493
2023-12-08,43273.15,2355.74,67.74,0.09594
2023-12-09,44171.0,2358.71,74.93,0.10165
2023-12-10,43713.59,2340.48,72.31,0.09846
2023-12-11,43789.5,2352.39,74.88,0.10186
2023-12-12,41253.41,2225.11,70.24,0.09412
2023-12-13,41492.38,2203.47,68.6,0.09381
2023-12-14,42869.03,2260.16,70.62,0.09643
2023-12-15,43022.26,2315.32,75.68,0.0983
2023-12-16,41940.29,2220.51,72.51,0.09302
2023-12-17,42278.02,2228.96,73.71,0.09713
2023-12-18,41374.64,2196.53,70.85,0.09295
2023-12-19,42657.8,2219.44,74.41,0.09212
2023-12-20,42275.99,2177.9,73.0,0.09023
2023-12-21,43668.92,2202.17,82.22,0.09151
2023-12-22,43861.79,2239.6,93.86,0.095
2023-12-23,43969.04,2324.54,97.91,0.09498
2023-12-24,43702.15,2308.2,107.88,0.09346
2023-12-25,42991.5,2264.04,112.45,0.09172
2023-12-26,43576.12,2271.36,120.91,0.09436
2023-12-27,42508.93,2230.88,112.48,0.09135
2023-12-28,43428.86,2378.35,106.92,0.09365
2023-12-29,42563.76,2344.15,101.8,0.09174
2023-12-30,42066.94,2299.2,106.17,0.09096
2023-12-31,42140.29,2291.68,101.9,0.09
2024-01-01,42283.58,2281.87,101.72,0.08956
2024-01-02,44179.55,2352.05,109.93,0.092
