1707696000000,48300.00000000,50334.82000000,47710.01000000,49917.27000000,59009.96705000,1707699599999,2898220863.01818037,1939394.00000000,30797.43359000,1512688561.68886566,0
1707782400000,49917.28000000,50368.61000000,48300.95000000,49699.59000000,55551.56706000,1707785999999,2745025370.06744719,1741811.00000000,28409.79337000,1403783512.68099046,0
1707868800000,49699.60000000,52043.71000000,49225.01000000,51795.17000000,57046.37401000,1707872399999,2919604456.72331285,1859392.00000000,29664.51830000,1518339681.33460212,0
1707955200000,51795.17000000,52816.62000000,51314.00000000,51880.00000000,53816.03055000,1707958799999,2802825737.99201536,1786569.00000000,26722.58656000,1391971339.71580553,0
1708041600000,51880.01000000,52572.08000000,51566.00000000,52124.11000000,37772.25318000,1708045199999,1965003863.97133446,1583711.00000000,18309.89888000,952708587.73249888,0
1708128000000,52124.10000000,52162.82000000,50625.00000000,51642.64000000,25674.00622000,1708131599999,1319908544.97908902,1427773.00000000,12655.51593000,650426057.19761539,0
1708214400000,51642.64000000,52377.00000000,51163.28000000,52137.67000000,21992.10363000,1708217999999,1139209588.43346262,1375422.00000000,11281.34692000,584447328.11427224,0
1708300800000,52137.68000000,52488.77000000,51677.00000000,51774.73000000,29534.99432000,1708304399999,1539600521.60077286,1542990.00000000,15266.36204000,795825023.64422357,0
1708387200000,51774.74000000,52985.00000000,50760.37000000,52258.82000000,49614.47318000,1708390799999,2574874999.37871742,1971912.00000000,24994.25062000,1297330385.00509310,0
1708473600000,52258.82000000,52366.80000000,50625.00000000,51849.39000000,43079.40049000,1708477199999,2210278288.72509480,1824860.00000000,22239.73293000,1140905416.95625210,0
1708560000000,51849.38000000,52065.78000000,50940.78000000,51288.42000000,35309.44574000,1708563599999,1820949707.15853405,1688184.00000000,17830.46730000,919599483.90786159,0
1708646400000,51288.42000000,51548.54000000,50521.00000000,50744.15000000,30545.79544000,1708649999999,1559143576.82961631,1487039.00000000,14610.80906000,745820955.25604630,0
1708732800000,50744.15000000,51698.00000000,50585.00000000,51568.22000000,16560.42110000,1708736399999,847793393.57186794,855015.00000000,8462.15627000,433239599.42398870,0
1708819200000,51568.21000000,51958.55000000,51279.80000000,51728.85000000,18721.63159000,1708822799999,966951114.45046294,923992.00000000,9544.17672000,492952522.68163890,0
1708905600000,51728.85000000,54910.00000000,50901.44000000,54476.47000000,51256.72199000,1708909199999,2710403072.98059511,1808909.00000000,27198.83551000,1438371804.11010122,0
1708992000000,54476.48000000,57588.15000000,54450.13000000,57037.34000000,67194.98562000,1708995599999,3795949115.22493124,2414285.00000000,34970.25885000,1975472154.51157355,0
1709078400000,57037.35000000,64000.00000000,56691.85000000,62432.10000000,118763.46984000,1709081999999,7162581994.48573875,3895062.00000000,62066.63936000,3742433894.94507694,0
1709164800000,62432.11000000,63676.35000000,60364.70000000,61130.98000000,78425.07603000,1709168399999,4872212871.27608013,3169405.00000000,39463.06931000,2452515504.86865139,0
1709251200000,61130.99000000,63114.23000000,60777.00000000,62387.90000000,47737.93473000,1709254799999,2956537377.96602964,1947444.00000000,24195.70252000,1498771144.09995604,0
1709337600000,62387.90000000,62433.19000000,61561.12000000,61987.28000000,25534.73659000,1709341199999,1582566973.83409309,1641808.00000000,12691.37721000,786583052.08627260,0
1709424000000,61987.28000000,63231.88000000,61320.00000000,63113.97000000,28994.90903000,1709427599999,1804536272.94434571,1992011.00000000,14905.18600000,927868983.73084307,0
1709510400000,63113.97000000,68499.00000000,62300.00000000,68245.71000000,84835.16005000,1709513999999,5568877537.08125210,3887853.00000000,45319.08640000,2974396037.68572044,0
1709596800000,68245.71000000,69000.00000000,59005.00000000,63724.01000000,132696.78130000,1709600399999,8674526591.28714180,5310706.00000000,65991.84526000,4318205559.64365005,0
1709683200000,63724.01000000,67641.10000000,62779.14000000,66074.04000000,78738.85491000,1709686799999,5197743036.59727573,3302981.00000000,40344.32596000,2663883160.20696211,0
1709769600000,66074.04000000,67980.00000000,65551.00000000,66823.17000000,53059.88690000,1709773199999,3548088039.27360868,2428227.00000000,27935.66302000,1867854683.98202991,0
1709856000000,66823.18000000,69990.00000000,66082.66000000,68124.19000000,74261.93284200,1709859599999,5044395324.39905453,2943927.00000000,37711.51458100,2563347797.52868032,0
1709942400000,68124.20000000,68541.10000000,67861.10000000,68313.27000000,19872.89743000,1709945999999,1355964036.90929866,1345341.00000000,10005.59200000,682720256.00282264,0
1710028800000,68313.28000000,69887.61000000,68094.75000000,68955.88000000,38404.66835000,1710032399999,2659307501.09457827,2139518.00000000,19188.79904000,1328747995.99402547,0
1710115200000,68955.88000000,72800.00000000,67024.96000000,72078.10000000,75292.82572600,1710118799999,5352704377.61880493,3043414.00000000,39435.85545900,2803359303.28697300,0
1710201600000,72078.10000000,73000.00000000,68620.82000000,71452.01000000,68783.54669100,1710205199999,4909667978.55933857,3047890.00000000,34517.21293300,2465202174.40722609,0
1710288000000,71452.00000000,73650.25000000,71333.31000000,73072.41000000,52659.71164700,1710291599999,3829764501.25379276,2501197.00000000,26787.08223700,1948382241.88946033,0
1710374400000,73072.40000000,73777.00000000,68555.00000000,71388.94000000,71757.62874600,1710377999999,5132189849.09663200,2994869.00000000,35676.74832600,2552190396.88900661,0
1710460800000,71388.94000000,72419.71000000,65600.00000000,69499.85000000,103334.03546000,1710464399999,7065279917.87211132,3904445.00000000,49844.66515000,3409385750.02117682,0
1710547200000,69499.84000000,70043.00000000,64780.00000000,65300.63000000,55926.95336000,1710550799999,3788544202.88485622,2729019.00000000,27240.19894000,1846731512.27362323,0
1710633600000,65300.64000000,68904.40000000,64533.00000000,68393.48000000,49742.21589000,1710637199999,3322963634.24251318,2449156.00000000,25328.29435000,1692079618.21131063,0
1710720000000,68393.47000000,68956.00000000,66565.20000000,67609.99000000,55691.08088000,1710723599999,3768277912.41891861,2464515.00000000,28529.67219000,1930726566.24924564,0
1710806400000,67610.00000000,68124.11000000,61555.00000000,61937.40000000,101005.32487000,1710809999999,6484805948.53539276,3593832.00000000,48205.28434000,3095258881.70227337,0
1710892800000,61937.41000000,68100.00000000,60775.00000000,67840.51000000,90420.58592000,1710896399999,5769770052.06258297,3549793.00000000,45523.84281000,2907222064.13129139,0
1710979200000,67840.51000000,68240.47000000,64529.01000000,65501.27000000,53357.48002000,1710982799999,3551223142.96441698,2388390.00000000,26650.09786000,1774833851.22152448,0
1711065600000,65501.28000000,66649.62000000,62260.00000000,63796.64000000,51482.37821000,1711069199999,3310481978.10764551,2492881.00000000,24578.87957000,1580940164.12123728,0
1711152000000,63796.64000000,65999.00000000,63000.00000000,63990.01000000,26410.11409000,1711155599999,1706152172.63161349,1753566.00000000,12749.00823000,823892846.71497691,0
1711238400000,63990.02000000,67628.69000000,63772.29000000,67209.99000000,31395.78015000,1711241999999,2059312948.64868712,1880774.00000000,16689.65617000,1095820626.02919960,0
1711324800000,67210.00000000,71150.00000000,66385.06000000,69880.01000000,53431.14486000,1711328399999,3679964073.81121302,2632220.00000000,27815.58769000,1915614174.23976350,0
1711411200000,69880.00000000,71561.10000000,69280.00000000,69988.00000000,38934.38417000,1711414799999,2738537345.33587980,2176807.00000000,19498.85666000,1371708206.53887200,0
1711497600000,69987.99000000,71769.54000000,68359.18000000,69469.99000000,49119.35685000,1711501199999,3426458581.94334316,2453366.00000000,24902.33470000,1737325915.83441782,0
1711584000000,69469.99000000,71552.06000000,68903.62000000,70780.60000000,35439.03239000,1711587599999,2500571208.00262737,1799897.00000000,18007.26883000,1270852446.70774508,0
1711670400000,70780.60000000,70916.16000000,69009.00000000,69850.54000000,25445.08353000,1711673999999,1779608477.32245350,1522607.00000000,11839.09290000,828039936.68545330,0
1711756800000,69850.53000000,70321.10000000,69540.00000000,69582.18000000,13644.61142000,1711760399999,954555919.68557441,1110488.00000000,6423.89367000,449436189.73361903,0
1711843200000,69582.17000000,71366.00000000,69562.99000000,71280.01000000,19396.34433000,1711846799999,1367523707.26124501,1181926.00000000,10142.47988000,715151368.94630218,0
