time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open,ADAUSDT_Open,BNBUSDT_Open,LINKUSDT_Open,TRXUSDT_Open,XRPUSDT_Open,USDCUSDT_Open
2023-04-23,27816.85,1874.17,21.79,0.08029,0.3956,332.2,7.174,0.0661,0.472,1.0
2023-04-24,27590.59,1862.01,21.47,0.07876,0.3887,330.6,7.082,0.06671,0.4648,0.9999
2023-04-25,27510.93,1841.84,21.39,0.07875,0.3836,331.2,7.069,0.0661,0.461,0.9999
2023-04-26,28300.8,1866.1,21.94,0.07976,0.3944,338.4,7.275,0.06584,0.4696,1.0
2023-04-27,28415.29,1866.01,21.28,0.07859,0.4014,330.6,7.004,0.06508,0.4618,0.9996
2023-04-28,29472.77,1908.68,22.34,0.08013,0.41,330.9,7.17,0.06576,0.4666,0.9996
2023-04-29,29311.69,1890.93,23.34,0.08033,0.4044,324.1,7.04,0.06667,0.4795,0.9992
2023-04-30,29230.45,1907.79,23.18,0.08157,0.4025,321.9,7.185,0.068,0.4779,0.9994
2023-05-01,29233.2,1870.08,22.73,0.0795,0.3957,337.5,7.025,0.06714,0.4705,0.9995
2023-05-02,28068.26,1830.73,21.95,0.07882,0.3867,328.4,6.896,0.06851,0.4648,0.9997
2023-05-03,28669.85,1870.09,22.25,0.07876,0.3917,321.4,6.987,0.06923,0.4644,0.9995
2023-05-04,29026.16,1905.12,22.24,0.07961,0.3941,325.9,7.129,0.06927,0.4633,0.9998
2023-05-05,28838.16,1877.07,21.74,0.07837,0.3873,323.9,6.997,0.0694,0.4608,0.9996
2023-05-06,29505.6,1993.3,22.82,0.08017,0.3941,326.6,7.226,0.07091,0.4671,0.999
2023-05-07,28848.19,1896.33,21.91,0.07672,0.3787,322.0,6.92,0.07024,0.4582,0.9983
2023-05-08,28430.09,1870.41,21.65,0.07652,0.376,321.0,6.911,0.06919,0.4491,0.9987
2023-05-09,27668.8,1847.55,20.63,0.07239,0.3653,313.8,6.582,0.0685,0.4283,0.9993
2023-05-10,27628.28,1846.53,20.66,0.0731,0.3633,312.2,6.521,0.06906,0.4289,0.9995
2023-05-11,27598.74,1840.83,20.92,0.07312,0.3693,314.3,6.588,0.06934,0.4303,0.9994
2023-05-12,26968.61,1794.31,20.17,0.07193,0.3598,307.5,6.36,0.06772,0.4207,0.9995
2023-05-13,26795.01,1807.45,20.91,0.07235,0.3705,308.6,6.623,0.06907,0.4305,0.9995
2023-05-14,26775.27,1795.12,20.83,0.07168,0.3646,310.8,6.49,0.06933,0.424,0.9995
2023-05-15,26917.61,1799.2,20.93,0.07195,0.371,312.1,6.547,0.06939,0.4253,0.9995
2023-05-16,27162.15,1816.21,20.98,0.0719,0.3669,313.4,6.635,0.07025,0.4273,0.9997
2023-05-17,27033.85,1824.21,20.68,0.07276,0.3683,311.4,6.658,0.07054,0.4426,0.9998
2023-05-18,27405.62,1822.12,21.06,0.07484,0.3755,314.3,6.758,0.07122,0.4485,0.9999
2023-05-19,26821.28,1800.56,20.35,0.07344,0.3713,309.3,6.531,0.07015,0.4597,0.9999
2023-05-20,26880.26,1812.31,20.35,0.07351,0.3681,308.9,6.51,0.07066,0.4674,0.9998
2023-05-21,27102.42,1819.42,20.28,0.07362,0.3663,310.7,6.505,0.07257,0.4685,0.9996
